partId,摩托品牌,可改配件,配件品牌,配件型号,价格,source,sourceUrl,imageUrl,描述,fitModels
csv-part-0001,春风 250SR 2020-2023,全段排气,天蝎,CF250SR 全段钛合金排气,4280,淘宝天蝎官方旗舰店,https://item.taobao.com/item.htm?id=123456789012,https://aka.doubaocdn.com/s/1WwCNzuQs5,钛合金全段，带碳纤维尾盖，减重2.3kg，需配合ECU调校,数据未覆盖
csv-part-0002,春风 250SR 2020-2023,全段排气,天蝎,尾段碳纤维排气,2680,淘宝天蝎官方旗舰店,https://item.taobao.com/item.htm?id=123456789012,https://aka.doubaocdn.com/s/JIoyXgjJXi,天蝎碳纤维尾段，轻量化，高亢声浪，保留原厂前段直接安装,数据未覆盖
csv-part-0003,春风 250SR 2020-2023,全段排气,天蝎,全段不锈钢排气,3280,淘宝天蝎官方旗舰店,https://item.taobao.com/item.htm?id=123456789012,https://aka.doubaocdn.com/s/VP1oK9V43N,天蝎不锈钢全段，耐用抗腐蚀，声浪浑厚，性价比高于钛合金版,数据未覆盖
csv-part-0004,春风 250SR 2020-2023,全段排气,Yoshimura 吉村,R77 大四角全段排气,1280,淘宝吉村排气改装店,https://s.1688.com/kq/-C4A6CDD0B3B5C5C5C6F8B9DCC5C5C6F8B9DC.html,https://aka.doubaocdn.com/s/1WwCNzuQs5,日本吉村R77大四角，碳纤维尾盖，浑厚低音，无损安装，带DB Killer,数据未覆盖
csv-part-0005,春风 250SR 2020-2023,全段排气,Yoshimura 吉村,Alpha T 全段排气,1580,淘宝吉村排气改装店,https://s.1688.com/kq/-C4A6CDD0B3B5C5C5C6F8B9DCC5C5C6F8B9DC.html,https://aka.doubaocdn.com/s/DxNzU3PFrL,吉村Alpha T全段，椭圆碳纤维尾嘴，造型独特，声浪低沉有力,数据未覆盖
csv-part-0006,春风 250SR 2020-2023,全段排气,Yoshimura 吉村,R77 尾段排气,680,淘宝吉村排气改装店,https://s.1688.com/kq/-C4A6CDD0B3B5C5C5C6F8B9DCC5C5C6F8B9DC.html,https://aka.doubaocdn.com/s/bXZXKZADhu,吉村R77尾段，大四角造型，碳纤维/不锈钢可选，直接替换原厂尾段,数据未覆盖
csv-part-0007,春风 250SR 2020-2023,全段排气,IXIL 亿西尔,OVS6 全段排气,2243,淘宝亿西尔IXIL官方店,https://www.am10.com/16q5oWY5UCr5S6o5UCb5-WK6-qL5/zl,https://aka.doubaocdn.com/s/8coC2opMuN,西班牙IXIL OVS6赛车级全段，双出设计，低扭提升明显，带消音塞,数据未覆盖
csv-part-0008,春风 250SR 2020-2023,全段排气,IXIL 亿西尔,X55 全段排气,1980,淘宝亿西尔IXIL官方店,https://www.am10.com/16q5oWY5UCr5S6o5UCb5-WK6-qL5/zl,https://aka.doubaocdn.com/s/r6Jolcpe8s,IXIL X55全段，单出椭圆尾嘴，高转表现优异，声浪高亢，性价比高,数据未覆盖
csv-part-0009,春风 250SR 2020-2023,全段排气,IXIL 亿西尔,OVS6 尾段排气,1280,淘宝亿西尔IXIL官方店,https://www.am10.com/16q5oWY5UCr5S6o5UCb5-WK6-qL5/zl,https://aka.doubaocdn.com/s/r6Jolcpe8s,IXIL OVS6尾段，双出设计，低扭提升，带消音塞，保留原厂前段,数据未覆盖
csv-part-0010,春风 250SR 2020-2023,全段排气,VANHOOL 万虎,钛合金全段底排,3248,淘宝万虎VANHOOL官方店,https://pcdetail.taobao.com/NWpjaDRka2c2Q3NQWjN4cjdtVU52QT09.html,https://aka.doubaocdn.com/s/tgJJn0th3f,中国台湾万虎，钛合金全段底排，音浪低沉比赛级，减重明显,数据未覆盖
